collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;class
между прочить;777;1;0;0.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.16666666666666666;0;0;0;1.0;1;-130517.28556183481;-147273.1058967886;2;1
много раз;131;440;4;0.17391304347826086;2;3.0386713787585222;-0.14887024161263307;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.652580041161329;9.652580041161329;1.9602411466883718;0.00909090909090909;-6.157346935362843;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;0;-51751.73642823321;-41559.71185441291;4;1
на время;8849;1514;22;0.34782608695652173;1;10.090032678564285;5.457286713964643;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2513461706167425;9.170209407891337;0.7499405125478821;0.0024861566278675555;-7.8797224722947625;1.3795577137969567e-06;0;0.02666666666666667;0;0;0.013513513513513514;0;0;0;1.0;1;-78369.74235403577;-61350.050832704765;3;0
на грань;8849;5;3;0.13043478260869565;1;2.6538197438937914;-0.08404719628677548;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6190984477989705;8.789023449241283;1.6968101952379835;0.00033902135834557577;-10.527151157376709;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-75005.38472772615;-63164.16523904818;4;0
на основание;8849;79;33;0.43478260869565216;2;11.937018588580564;8.03838883972297;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.096677413146527;15.185465651863435;5.576680624897451;0.0037292349418013336;-7.079727192470734;1.3795577137969567e-06;0;0.0011911852293031567;0;0;0.0005959475566150178;0;0;0;1.0;1;-46705.19998876879;-27046.79660366554;4;1
на практика;8849;118;76;0.5217391304347826;2;21.47354083771757;20.23862606745242;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.721348506046921;18.217203532934093;8.552560134226054;0.00858854107808792;-5.882482168955665;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;1;-34830.99660179367;-15337.512708176191;4;1
хороший образ;405;947;3;0.13043478260869565;1;2.6538197438937914;-0.08404719628677548;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5033265437042225;5.673251545146535;1.426569775806433;0.0031678986272439284;-7.815916935561028;1.3795577137969567e-06;0;0.031746031746031744;0;0;0.016129032258064516;0;0;0;1.0;0;-73323.20591457133;-58381.49998596098;3;0
наряду с;16;10637;16;0.391304347826087;2;6.5197652252522875;1.7206482770975047;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.0905590581093;14.0905590581093;3.9413025783933673;0.0015041835103882673;-8.378972145742127;1.3795577137969567e-06;0;0.02666666666666667;0;0;0.013513513513513514;0;0;0;1.0;0;-54621.33558008554;-38096.402533211825;4;1
начать дискуссия;212;6;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-131012.04403629209;-147767.86437124587;1;0
не использовать;6836;1720;37;0.391304347826087;1;15.076957083395914;11.488303392577556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.1896865905867886;11.608593321844689;3.416091070840101;0.005412521942656524;-6.853267401536095;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;0;-58480.45168085245;-35457.69066943958;4;0
