collocation,frequency1,frequency2,frequency,doc_freq,Words_in_dict,TF_IDF,TF-RIDF,NOUN_l,ADJF_l,ADJS_l,COMP_l,VERB_l,INFN_l,PRTF_l,GRND_l,NUMR_l,ADVB_l,NPRO_l,PRED_l,PREP_l,CONJ_l,PRCL_l,INTJ_l,None_l,NOUN_1,ADJF_1,ADJS_1,COMP_1,VERB_1,INFN_1,PRTF_1,GRND_1,NUMR_1,ADVB_1,NPRO_1,PRED_1,PREP_1,CONJ_1,PRCL_1,INTJ_1,None_1,NOUN_2,ADJF_2,ADJS_2,COMP_2,VERB_2,INFN_2,PRTF_2,GRND_2,NUMR_2,ADVB_2,NPRO_2,PRED_2,PREP_2,CONJ_2,PRCL_2,INTJ_2,None_2,NOUN_r,ADJF_r,ADJS_r,COMP_r,VERB_r,INFN_r,PRTF_r,GRND_r,NUMR_r,ADVB_r,NPRO_r,PRED_r,PREP_r,CONJ_r,PRCL_r,INTJ_r,None_r,MI,MI3,T-score,minimum-sens,log_dice,raw_freq,log_likehood,dice,chi_sq,pmi,jaccard,phi,mi_like,poison_stirling,student_t,Words Class,MY_COMBINATION,ALLA_COMBINATION,collections_kolichestvo,weirdness,cw,dw,otnosit_chastota,class
и другой,19210,1952,201,0.782608695652174,1,21.39752151377164,21.383536624500707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9581072112865916,17.260210593644448,10.528655581585028,0.010463300364393545,-5.718136669968479,1.3795577137969567e-06,0,0,0,0,0.00411522633744856,0,0,0,1.0,1,-25133.730502430662,-41889.550837384435,4,1.687006299061757,134.89691876443052,26.87788677179253,1,0
в один,27729,4721,426,0.7391304347826086,1,55.924817636349886,55.92481596408599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.23808764036362,18.707506880815295,11.889863553863636,0.015362977388293843,-5.251221237548025,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,-76093.8533715322,-126823.08895255368,4,1.0125081069966597,132.72678484323455,19.941438472234434,1,0
из состояние,4846,928,21,0.2608695652173913,0,12.255108298312933,7.5764872931761085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7591204944232803,10.543755339980802,3.2287535536538154,0.004333470903838217,-7.103037969457222,1.3795577137969567e-06,0,0.047619047619047616,0,0,0.024390243902439025,0,0,0,1.0,1,0.0,0.0,3,25.838957238794,102.85414701828638,47.166586557884564,1,1
быть обозначать,5572,217,25,0.2608695652173913,1,14.58941464084873,10.123300247929153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.905688170952431,13.193400550501881,4.666388731772594,0.004486719310839914,-6.855242251454154,2.7591154275939134e-06,0,0.18181818181818182,0,0,0.1,0,0,0,1.414213562373095,1,-98852.74319656784,-164754.57199427974,3,0,124.82674285916568,91.3074053129741,1,0
с номер,10637,548,71,0.34782608695652173,1,32.5632872808211,31.122834517228263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1422740946534553,15.44176833366282,7.471793753335836,0.006674814327347936,-6.299530516441799,1.3795577137969567e-06,0,0,0,0,0.0024813895781637717,0,0,0,1.0,1,-247379.2372286482,-412298.7287144137,3,38.28863663566747,119.28222349045845,63.41268109807532,1,0
в друг,27729,741,78,0.4782608695652174,1,24.986141767030688,23.826112315970832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4603272742981894,14.031131712022686,5.622204639566019,0.0028129395218002813,-7.511752653767379,1.3795577137969567e-06,0,0,0,0,0.00411522633744856,0,0,0,1.0,1,0.0,0.0,4,0.5878771019813122,117.11361220402787,12.5113349523672,0,0
быть называть,5572,441,30,0.391304347826087,1,12.22455979734804,8.100138809393243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.145638963673184,12.959420154890221,4.8583135173150165,0.005384063173007897,-6.646978647587549,2.7591154275939134e-06,0,0,0,0,0.1,0,0,0,1.414213562373095,1,-122403.24658073515,-204005.41096789192,3,59.66450126048796,131.2168630373639,79.72281099288655,1,1
записывать в,77,27729,21,0.391304347826087,1,8.557191858143627,3.8785708530068024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833785669825634,11.618420515383155,3.939806345095527,0.0007573298712539219,-9.370791179153308,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,-284684.0262027284,-474473.37700454734,4,1.8269969764803837,93.03787584679024,19.87406363831893,1,1
на один,8849,4721,258,0.782608695652174,1,27.465475375885987,27.463969615766374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1624145297844377,18.184869040630947,12.474330634183582,0.029155836817719518,-4.716905844882962,1.3795577137969567e-06,0,0.0011911852293031567,0,0,0.0005959475566150178,0,0,0,1.0,1,-347518.352458805,-579197.2540980084,4,0.8733077572063113,130.43472091129757,17.925392959567613,0,0
переходить в,79,27729,28,0.391304347826087,1,11.409589144191504,7.1416004885163655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211828961622276,12.826538805737485,4.720389475707233,0.0010097731616718958,-8.955857444756797,1.3795577137969567e-06,0,0.029850746268656716,0,0,0.015151515151515152,0,0,0,1.0,1,-128340.34827422272,-213900.58045703787,4,2.226848314761519,121.74774738987267,27.817924698712012,1,1
