collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota;class
за счёт;1037;187;120;0.6521739130434783;2;22.2763892354294;21.993079678000633;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.809158713131094;22.622939904348133;10.930029803142524;0.11571841851494696;-2.3504972470841334;1.3795577137969567e-06;0;0;0;0;0.00023820867079561695;0;0;0;1.0;1;-27112.764400259846;-17976.224571948438;4;32.41614635412338;138.11562037919737;76.13004445774645;1;1
задолго до;3;922;3;0.13043478260869565;2;2.6538197438937914;-0.08404719628677548;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9.6187398157941;12.788664817236413;1.7298477217126846;0.0032537960954446853;-7.268347054682518;2.7591154275939134e-06;0;0;0;0;0.0011926058437686344;0;0;0;1.414213562373095;0;-137740.75928891136;-157168.2753859345;3;0.44688218727847717;91.3110146409382;8.484472797680445;0;1
значительно большой;99;722;5;0.13043478260869565;2;4.423032906489652;0.8774883543857603;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.66407920414402;10.307935393918745;2.1919691275278694;0.006925207756232687;-6.359310316890443;2.7591154275939134e-06;0;0.05970149253731343;0;0;0.03076923076923077;0;0;0;1.414213562373095;1;-134970.1118319505;-150241.65674353237;3;0;103.9207228456919;57.8054778467083;1;1
значительно выше;99;301;3;0.13043478260869565;2;2.6538197438937914;-0.08404719628677548;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6.189348960105283;9.359273961547595;1.7083162611376805;0.009966777408637873;-6.058893689053568;1.3795577137969567e-06;0;0.08333333333333333;0;0;0.043478260869565216;0;0;0;1.0;0;-131902.60929031525;-151890.85165839002;3;27.24835490636458;103.77625300068675;48.18565462153021;1;1
значительно ниже;99;296;1;0.043478260869565216;2;1.3617278360175928;-0.009406977738234845;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.6285527705148795;4.6285527705148795;0.9595734407548939;0.0033783783783783786;-7.625708843064466;1.3795577137969567e-06;0;0;0;0;0.024390243902439025;0;0;0;1.0;0;-169603.20504396124;-186688.86436188655;2;22.550362681129307;100.43602848632604;44.60454807768806;1;1
значительно поздний;99;97;0;0.0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.024390243902439025;0;0;0;1.0;1;-237583.0194343938;-283826.4448470024;1;2.8187953351411634;53.743050539996375;16.35280757740109;1;1
значительный количество;70;567;4;0.08695652173913043;2;4.242791361414447;1.055249741043292;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.190874814336243;10.190874814336244;1.9726226771696993;0.007054673721340388;-6.3151495622563;1.3795577137969567e-06;0;0.18181818181818182;0;0;0.1;0;0;0;1.0;0;-134574.30505238465;-153045.2880987904;3;37.114138579358645;118.87689637246864;62.746097566049244;1;1
иметь возможность;2159;954;54;0.391304347826087;2;22.00420763522647;19.64828140458454;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.24825727435889;15.758032278685828;6.961796083099419;0.025011579434923575;-4.849202359305711;2.7591154275939134e-06;0;0.2857142857142857;0;0;0.16666666666666666;0;0;0;1.414213562373095;1;-78171.83896425285;-65308.11862836313;4;4.39081581050835;123.04493838146382;37.3720586357592;1;1
иметь значение;2159;3760;63;0.43478260869565216;2;22.78885366910835;20.960911992650765;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.49197820513585;14.446538052135683;6.526308928078728;0.01675531914893617;-5.553857817944798;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;-103503.47285646643;-78831.51693019591;4;0.8311832398493174;120.35578037683038;16.10043134592638;0;1
иметь значение;2159;3760;63;0.43478260869565216;2;22.78885366910835;20.960911992650765;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.49197820513585;14.446538052135683;6.526308928078728;0.01675531914893617;-5.553857817944798;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;-103503.47285646643;-78831.51693019591;4;0.8311832398493174;120.35578037683038;16.10043134592638;0;1
как таковой;4143;47;5;0.17391304347826086;2;3.798339223448153;0.2527946713442608;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.218241894453956;8.86209808422868;2.115933500242699;0.0012068549360366883;-8.710806433699352;2.7591154275939134e-06;0;0;0;0;0.0005743825387708214;0;0;0;1.0;1;-175342.40334766588;-180257.00419394168;4;2.348996112617636;117.24634497520675;27.476092826163224;1;1
кроме тот;468;4147;313;0.6956521739130435;2;49.33125810220211;49.3310909363801;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.869164551666691;23.44920224553193;17.540468151192265;0.075476247890041;-2.882096085600518;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;-25232.68219732212;-8905.652540231336;4;2.216298437483798;135.8915847984146;30.969813759699075;1;1
между прочить;777;1;0;0.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.16666666666666666;0;0;0;1.0;1;-238077.77790885107;-284321.2033214597;2;0.5152636634129009;89.41540055465487;9.26982619641116;0;1
много раз;131;440;4;0.17391304347826086;2;3.0386713787585222;-0.14887024161263307;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.652580041161329;9.652580041161329;1.9602411466883718;0.00909090909090909;-6.157346935362843;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;0;-133683.73979836152;-150571.4957265039;4;0.3956203979145492;94.29516298133899;7.918379730049982;0;1
на основание;8849;79;33;0.43478260869565216;2;11.937018588580564;8.03838883972297;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.096677413146527;15.185465651863435;5.576680624897451;0.0037292349418013336;-7.079727192470734;1.3795577137969567e-06;0;0.0011911852293031567;0;0;0.0005959475566150178;0;0;0;1.0;1;-118643.08217485968;-110166.22031249134;4;33.267657444947275;136.27855559924726;75.19333317662486;1;1
на практика;8849;118;76;0.5217391304347826;2;21.47354083771757;20.23862606745242;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.721348506046921;18.217203532934093;8.552560134226054;0.00858854107808792;-5.882482168955665;1.3795577137969567e-06;0;0;0;0;0.00411522633744856;0;0;0;1.0;1;-82228.85845480268;-70915.38133887916;4;18.243869807996973;130.27816777755257;61.678123061138216;1;1
наряду с;16;10637;16;0.391304347826087;2;6.5197652252522875;1.7206482770975047;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.0905590581093;14.0905590581093;3.9413025783933673;0.0015041835103882673;-8.378972145742127;1.3795577137969567e-06;0;0.02666666666666667;0;0;0.013513513513513514;0;0;0;1.0;0;-140907.21352543804;-141665.84318627257;4;30.380349723188097;134.16793139062537;72.17906279173835;1;1
не учитывать;6836;84;7;0.17391304347826086;2;5.317674912827414;1.2503723284183486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.143463573826143;8.758173417941352;2.346337248475091;0.001023990637799883;-8.949201400466483;1.3795577137969567e-06;0;0.18181818181818182;0;0;0.1;0;0;0;1.0;0;-182269.02199006802;-179102.5677535413;3;67.65108804338792;117.7165155724856;67.02756937359818;1;1
общий число;885;1590;9;0.2608695652173913;2;5.252189270705543;0.844990694990104;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2129430625236735;8.552793065408299;2.3529184543435373;0.005660377358490566;-7.103287808412022;1.3795577137969567e-06;0;0;0;0;0.016129032258064516;0;0;0;1.0;0;-167525.21945124058;-157992.87284336335;4;0;126.11862200794761;94.15911685345746;1;1
ответственный за;29;1037;26;0.30434782608695654;2;13.432374696086736;9.029467296127622;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9.291621300423733;18.692500736705917;5.090883157374414;0.02507232401157184;-4.357552004618084;2.7591154275939134e-06;0;0;0;0;0.1;0;0;0;1.414213562373095;0;-62042.71269694498;-67946.83049213538;4;6.47278928810193;115.04133947632269;39.77430255876676;1;1
переходить к;79;5170;20;0.43478260869565216;2;7.234556720351857;2.5160797134871107;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5.149561537731401;13.793417727506126;4.346144088313106;0.0038684719535783366;-7.035898787323415;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-129725.67200270314;-129626.72030781167;4;4.521817516788949;117.63920201280136;36.03737969838605;1;1
переходить на;79;8849;7;0.21739130434782608;2;4.639304821771018;0.5720022373619534;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.859638215845678;8.474348059960887;2.281239050782011;0.0007910498361396768;-9.316766389771583;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-188206.12368355558;-182895.71605771393;3;0.9191723918938577;96.16532458423073;14.16728295050047;0;1
по дать;3690;3851;12;0.2608695652173913;2;7.0029190276073905;2.311805909338867;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-0.7080972518001492;6.461827749642163;-2.1950214150164307;0.003116073747078681;-8.295577633612577;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-231349.06265623184;-212086.46605069446;4;37.427338061041;123.8788098837931;67.07546497789423;1;1
по мнение;3690;37;11;0.2608695652173913;2;6.419342441973441;1.7987157699682013;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.867935908284028;12.786799145558621;3.2598348226712606;0.002981029810298103;-7.404367485091552;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;-139126.0830173918;-147273.1058967886;3;5.513492762445924;131.78008831043613;43.67313960971441;1;1
по способ;3690;649;7;0.17391304347826086;2;5.317674912827414;1.2503723284183486;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0832379093341455;6.697947753449354;1.3970403703342147;0.001897018970189702;-8.275791948759139;2.7591154275939134e-06;0;0.0023823704586063135;0;0;0.0011926058437686344;0;0;0;1.414213562373095;1;-197804.43808802712;-185699.34741297193;2;9.161084839208781;96.40813016826513;35.65011709916883;1;1
по существо;3690;23;16;0.34782608695652173;2;7.338205584410389;2.539088636255606;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.094395699218667;15.094395699218667;3.970729234207513;0.004336043360433604;-6.858369599854741;1.3795577137969567e-06;0;0.0049504950495049506;0;0;0.0024813895781637717;0;0;0;1.0;1;-117653.56522594512;-122370.26268243801;4;12.44967939687347;113.14105107879868;46.876908131050044;1;1
под действие;313;673;0;0.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;1;-238572.53638330838;-284815.961795917;3;10.733105314575967;125.8588158553321;51.37010667745718;1;1
