collocation;frequency1;frequency2;frequency;doc_freq;Words_in_dict;TF_IDF;TF-RIDF;NOUN_l;ADJF_l;ADJS_l;COMP_l;VERB_l;INFN_l;PRTF_l;GRND_l;NUMR_l;ADVB_l;NPRO_l;PRED_l;PREP_l;CONJ_l;PRCL_l;INTJ_l;None_l;NOUN_1;ADJF_1;ADJS_1;COMP_1;VERB_1;INFN_1;PRTF_1;GRND_1;NUMR_1;ADVB_1;NPRO_1;PRED_1;PREP_1;CONJ_1;PRCL_1;INTJ_1;None_1;NOUN_2;ADJF_2;ADJS_2;COMP_2;VERB_2;INFN_2;PRTF_2;GRND_2;NUMR_2;ADVB_2;NPRO_2;PRED_2;PREP_2;CONJ_2;PRCL_2;INTJ_2;None_2;NOUN_r;ADJF_r;ADJS_r;COMP_r;VERB_r;INFN_r;PRTF_r;GRND_r;NUMR_r;ADVB_r;NPRO_r;PRED_r;PREP_r;CONJ_r;PRCL_r;INTJ_r;None_r;MI;MI3;T-score;minimum-sens;log_dice;raw_freq;log_likehood;dice;chi_sq;pmi;jaccard;phi;mi_like;poison_stirling;student_t;Words Class;MY_COMBINATION;ALLA_COMBINATION;collections_kolichestvo;weirdness;cw;dw;otnosit_chastota
попадать в;54;27729;33;0.34782608695652173;1;15.135049017846427;11.236419268988833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.99776140493676;14.086549643653667;5.38496994248384;0.0011900897976847343;-8.717520649698983;1.3795577137969567e-06;0;0.029850746268656716;0;0;0.015151515151515152;0;0;0;1.0;1;-189591.44741203604;-315985.7456867267;4;2.5643207562742525;123.0871471353218;29.989400205800493;1
что быть;5019;5572;47;0.4782608695652174;1;15.055752090390287;12.223073705616423;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.2847878345403141;11.393965537895589;1.2281060771468864;0.008435032304379038;-6.815962342596704;1.3795577137969567e-06;0;0;0;0;0.1;0;0;0;1.0;0;0.0;0.0;4;0.1996909446968013;113.83215224913467;5.301128640951947;0
предполагать что;124;5019;45;0.5217391304347826;1;12.714596548648563;9.73634222719066;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.7118353114067295;16.695541504066078;6.580214976115938;0.008965929468021518;-5.836541342022782;1.3795577137969567e-06;0;0;0;0;0.015151515151515152;0;0;0;1.0;1;-319515.0228045221;-532525.0380075368;4;1.5164842550575621;126.67280348936491;23.900069684974554;1
можно получить;2412;734;38;0.5217391304347826;0;10.736770418858786;7.22589911753693;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.9596398249237263;14.455494851810897;5.768207646323963;0.015754560530679935;-5.371375441972101;1.3795577137969567e-06;0;0;0;0;0.16666666666666666;0;0;0;1.0;0;-301703.71772405936;-502839.52954009897;4;23.771840659690476;124.42914572939186;61.739803623101935;1
строка с;1870;10637;59;0.43478260869565216;1;21.341942325037977;19.291550300285987;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1043795526961424;12.869665651419824;4.108626035075067;0.005546676694556736;-6.727805108167704;1.3795577137969567e-06;0;0.00819672131147541;0;0;0.00411522633744856;0;0;0;1.0;0;0.0;0.0;2;11.979880174349944;101.36671983064218;40.302448294729146;1
или равный;3868;456;23;0.17391304347826086;0;17.472360427861503;12.890758481422528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3.2406626186388685;12.287786530752895;4.288458626615132;0.0059462254395036196;-6.554588851677638;1.3795577137969567e-06;0;0.18181818181818182;0;0;0.1;0;0;0;1.0;1;0.0;0.0;3;0;88.02034077646864;41.89100090527611;1
из строка;4846;1870;28;0.2608695652173913;0;16.340144397750578;12.072155742075442;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.163316434054697;10.778026278169905;2.92892615069356;0.005777961205117622;-6.906031592879426;1.3795577137969567e-06;0;0.047619047619047616;0;0;0.024390243902439025;0;0;0;1.0;1;0.0;0.0;3;0;79.74861564837387;35.71134633599487;1
строка из;1870;4846;32;0.4782608695652174;0;10.25072482749977;6.27581659008816;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3559615119970931;11.355961511997092;3.446866322951028;0.006603384234420141;-6.71338651493703;1.3795577137969567e-06;0;0.00819672131147541;0;0;0.00411522633744856;0;0;0;1.0;0;-376907.00584156846;-628178.3430692808;2;2.4429559571223414;87.63409835820875;21.481923964172907;1
очевидно что;83;5019;59;0.4782608695652174;1;18.8997739007027;16.849381875950712;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6.681782143478846;18.44706824220253;7.606327220450369;0.011755329746961547;-5.434204134240631;1.3795577137969567e-06;0;0;0;0;0.0024813895781637717;0;0;0;1.0;0;-118840.98556464263;-198068.3092744044;4;6.887256602194909;133.10590456044068;47.6714634669886;1
по крайний;3690;65;57;0.6086956521739131;1;12.289188619343225;10.120230395001565;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.428479856411967;19.09425988474145;7.506007392374499;0.015447154471544716;-5.0417071782368925;1.3795577137969567e-06;0;0.031746031746031744;0;0;0.016129032258064516;0;0;0;1.0;1;-124184.37708878142;-206973.9618146357;4;0.36029714810075025;120.52037720139204;9.00013185722845;0
